order_id,customer_id,order_placement_date,on_time,in_full,otif,product_id,product_name,category
FMR32301302,789301,01-Mar-22,0,1,0,25891302,"AM Ghee 150",Dairy
FMR32420403,789420,01-Mar-22,1,0,0,25891301,"AM Curd 50",Dairy
FMR33420301,789420,01-Mar-22,0,0,0,25891301,"AM Ghee 250",Dairy
FMR33122301,789122,01-Mar-22,0,0,0,25891103,"AM Ghee 250",Dairy
FMR34101301,789101,01-Mar-22,1,1,1,25891301,"AM Ghee 250",Dairy
FMR33421301,789421,01-Mar-22,0,0,0,25891301,"AM Ghee 250",Dairy
FMR34421301,789421,01-Mar-22,1,0,0,25891102,"AM Ghee 250",Dairy
FMR34103403,789103,01-Mar-22,1,0,0,25891301,"AM Curd 250",Dairy
FMR32121301,789121,01-Mar-22,0,0,0,25891301,"AM Ghee 250",Dairy
FMR33402303,789402,01-Mar-22,1,1,1,25891202,"AM Butter 250",Dairy
FMR34221301,789221,01-Mar-22,1,1,1,25891301,"AM Ghee 250",Dairy
FMR34202301,789202,01-Mar-22,1,1,1,25891101,"AM Ghee 250",Dairy
FMR32522301,789522,01-Mar-22,0,1,0,25891301,"AM Ghee 250",Dairy
FMR34522403,789522,01-Mar-22,0,0,0,25891301,"AM Curd 50",Dairy
FMR33301301,789301,01-Mar-22,1,0,0,25891301,"AM Ghee 250",Dairy
FMR34303602,789303,01-Mar-22,1,0,0,25891102,"AM Butter 250",beverages
FMR33220603,789220,01-Mar-22,1,0,0,25891301,"AM Biscuits 250",beverages
FMR32422301,789422,01-Mar-22,1,1,1,25891301,"AM Ghee 250",Dairy
FMR33422301,789422,01-Mar-22,0,0,0,25891301,"AM Ghee 250",Dairy
FMR34401102,789401,01-Mar-22,1,1,1,25891101,"AM Milk 250",Dairy
FMR32121102,789121,01-Mar-22,1,0,0,25891102,"AM Milk 250",Dairy
FMR34902102,789902,01-Mar-22,0,1,0,25891102,"AM Milk 250",Dairy
FMR32503401,789503,01-Mar-22,1,0,0,25891102,"AM Curd 250",Dairy
FMR33720202,789720,01-Mar-22,1,1,1,25891102,"AM Butter 250",Dairy
FMR34321602,789321,01-Mar-22,1,0,0,25891102,"AM Biscuits 250",beverages
FMR32103503,789103,01-Mar-22,1,0,0,25891102,"AM Biscuits 250",Dairy
FMR32421102,789421,01-Mar-22,0,0,0,25891102,"AM Milk 250",Dairy
FMR34320102,789320,01-Mar-22,0,1,0,25891102,"AM Milk 250",Dairy
FMR32420102,789420,01-Mar-22,0,1,0,25891102,"AM Milk 250",Dairy
FMR32702601,789702,01-Mar-22,1,0,0,25891102,"AM Ghee 100",beverages
FMR34201202,789201,01-Mar-22,1,0,0,25891102,"AM Butter 250",Dairy
FMR32102102,789102,01-Mar-22,1,1,1,25891102,"AM Milk 250",Dairy
FMR34122102,789122,01-Mar-22,0,0,0,25891102,"AM Milk 250",Dairy
FMR33621102,789621,01-Mar-22,0,1,0,25891102,"AM Milk 250",Dairy
FMR32622502,789622,01-Mar-22,1,0,0,25891201,"AM Biscuits 500",Dairy
FMR33622502,789622,01-Mar-22,1,1,1,25891202,"AM Biscuits 500",Dairy
FMR32201502,789201,01-Mar-22,1,1,1,25891502,"AM Biscuits 500",Food
FMR33202502,789202,01-Mar-22,1,0,0,25891101,"AM Biscuits 500",Dairy
FMR33520502,789520,01-Mar-22,0,0,0,25891403,"AM Biscuits 500",Dairy
FMR34520503,789520,01-Mar-22,0,0,0,25891502,"AM Biscuits 250",Food
FMR33503502,789503,01-Mar-22,1,0,0,25891101,"AM Biscuits 500",Dairy
FMR34503502,789503,01-Mar-22,1,1,1,25891502,"AM Biscuits 500",Food
FMR34401503,789401,01-Mar-22,1,1,1,25891202,"AM Biscuits 250",Dairy
FMR34702502,789702,01-Mar-22,1,0,0,25891201,"AM Biscuits 500",Dairy
FMR33521502,789521,01-Mar-22,0,1,0,25891502,"AM Biscuits 500",Food
FMR34422403,789422,01-Mar-22,0,0,0,25891403,"AM Curd 50",Dairy
FMR33101403,789101,01-Mar-22,1,0,0,25891101,"AM Curd 50",Dairy
FMR32202603,789202,01-Mar-22,1,0,0,25891103,"AM Butter 250",beverages
FMR32121403,789121,01-Mar-22,1,1,1,25891403,"AM Curd 50",Dairy
FMR32220503,789220,01-Mar-22,1,0,0,25891403,"AM Biscuits 250",Dairy
FMR32622503,789622,01-Mar-22,1,0,0,25891503,"AM Biscuits 250",Food
FMR34622602,789622,01-Mar-22,1,0,0,25891303,"AM Biscuits 250",beverages
FMR33720503,789720,01-Mar-22,0,1,0,25891503,"AM Biscuits 250",Food
FMR32221603,789221,01-Mar-22,1,0,0,25891103,"AM Biscuits 250",beverages
FMR33221503,789221,01-Mar-22,1,0,0,25891503,"AM Biscuits 250",Food
FMR34721503,789721,01-Mar-22,1,0,0,25891402,"AM Biscuits 250",Dairy
FMR33320503,789320,01-Mar-22,0,1,0,25891503,"AM Biscuits 250",Food
FMR32101601,789101,01-Mar-22,1,1,1,25891101,"AM Biscuits 250",beverages
FMR32422503,789422,01-Mar-22,0,0,0,25891503,"AM Biscuits 250",Food
FMR34702602,789702,01-Mar-22,1,0,0,25891103,"AM Milk 100",beverages
FMR32601103,789601,01-Mar-22,1,0,0,25891103,"AM Milk 100",Dairy
FMR34601402,789601,01-Mar-22,1,0,0,25891103,"AM Curd 100",Dairy
FMR33303501,789303,01-Mar-22,1,1,1,25891103,"AM Biscuits 750",Dairy
FMR32621103,789621,01-Mar-22,1,1,1,25891103,"AM Milk 100",Dairy
FMR34621103,789621,01-Mar-22,1,0,0,25891103,"AM Milk 100",Dairy
FMR33501401,789501,01-Mar-22,1,0,0,25891101,"AM Curd 250",Dairy
FMR34402202,789402,01-Mar-22,1,0,0,25891103,"AM Butter 250",Dairy
FMR33522103,789522,01-Mar-22,0,1,0,25891103,"AM Milk 100",Dairy
FMR34122103,789122,01-Mar-22,1,1,1,25891103,"AM Milk 100",Dairy
FMR32401103,789401,01-Mar-22,1,1,1,25891103,"AM Milk 100",Dairy
FMR34301103,789301,01-Mar-22,0,1,0,25891103,"AM Milk 100",Dairy
FMR34902103,789902,01-Mar-22,0,0,0,25891103,"AM Milk 100",Dairy
FMR34721103,789721,01-Mar-22,0,1,0,25891103,"AM Milk 100",Dairy
FMR32321103,789321,01-Mar-22,0,1,0,25891103,"AM Milk 100",Dairy
FMR33321602,789321,01-Mar-22,1,0,0,25891101,"AM Curd 100",beverages
FMR32422401,789422,01-Mar-22,0,1,0,25891103,"AM Curd 250",Dairy
FMR34522601,789522,01-Mar-22,0,0,0,25891601,"AM Tea 500",beverages
FMR32902601,789902,01-Mar-22,0,0,0,25891601,"AM Tea 500",beverages
FMR33103602,789103,01-Mar-22,1,0,0,25891303,"AM Ghee 100",beverages
FMR33201602,789201,01-Mar-22,1,0,0,25891401,"AM Curd 250",beverages
FMR34122601,789122,01-Mar-22,0,0,0,25891601,"AM Tea 500",beverages
FMR33321601,789321,01-Mar-22,0,1,0,25891601,"AM Tea 500",beverages
FMR33903601,789903,01-Mar-22,1,0,0,25891601,"AM Tea 500",beverages
FMR34621601,789621,01-Mar-22,0,1,0,25891402,"AM Curd 100",beverages
FMR32421601,789421,01-Mar-22,1,0,0,25891601,"AM Tea 500",beverages
FMR34421601,789421,01-Mar-22,0,0,0,25891202,"AM Butter 250",beverages
FMR33102601,789102,01-Mar-22,1,1,1,25891202,"AM Butter 250",beverages
FMR32603203,789603,01-Mar-22,0,1,0,25891203,"AM Butter 500",Dairy
FMR34401402,789401,01-Mar-22,0,1,0,25891402,"AM Curd 100",Dairy
FMR34720402,789720,01-Mar-22,0,0,0,25891402,"AM Curd 100",Dairy
FMR32520603,789520,01-Mar-22,1,0,0,25891402,"AM Curd 100",beverages
FMR32203402,789203,01-Mar-22,1,1,1,25891303,"AM Curd 100",Dairy
FMR33122402,789122,01-Mar-22,0,0,0,25891402,"AM Curd 100",Dairy
FMR34122402,789122,01-Mar-22,1,0,0,25891402,"AM Curd 100",Dairy
FMR32221402,789221,01-Mar-22,0,1,0,25891402,"AM Curd 100",Dairy
FMR33221402,789221,01-Mar-22,0,1,0,25891402,"AM Curd 100",Dairy
FMR32622402,789622,01-Mar-22,0,0,0,25891402,"AM Curd 100",Dairy
FMR32202402,789202,01-Mar-22,0,1,0,25891303,"AM Curd 100",Dairy
FMR34301602,789301,01-Mar-22,1,0,0,25891201,"AM Butter 100",beverages
FMR33521201,789521,01-Mar-22,0,0,0,25891201,"AM Butter 100",Dairy
FMR32321201,789321,01-Mar-22,1,1,1,25891201,"AM Butter 100",Dairy
FMR32501201,789501,01-Mar-22,1,1,1,25891201,"AM Butter 100",Dairy
FMR34201201,789201,01-Mar-22,0,0,0,25891201,"AM Butter 100",Dairy
FMR34101201,789101,01-Mar-22,0,1,0,25891201,"AM Butter 100",Dairy
FMR34520602,789520,01-Mar-22,0,0,0,25891202,"AM Biscuits 750",beverages
FMR33203603,789203,01-Mar-22,1,0,0,25891101,"AM Biscuits 750",beverages
FMR34420501,789420,01-Mar-22,0,1,0,25891101,"AM Biscuits 750",Dairy
FMR33403501,789403,01-Mar-22,1,0,0,25891101,"AM Biscuits 750",Dairy
FMR34121501,789121,01-Mar-22,1,0,0,25891501,"AM Biscuits 750",Food
FMR32102602,789102,01-Mar-22,1,0,0,25891501,"AM Biscuits 750",beverages
FMR32402602,789402,01-Mar-22,1,0,0,25891501,"AM Biscuits 750",beverages
FMR33720501,789720,01-Mar-22,1,1,1,25891501,"AM Biscuits 750",Food
FMR32301603,789301,01-Mar-22,1,0,0,25891501,"AM Biscuits 750",beverages
FMR34703602,789703,01-Mar-22,1,0,0,25891202,"AM Butter 250",beverages
FMR32103602,789103,01-Mar-22,1,0,0,25891602,"AM Tea 250",beverages
FMR34320602,789320,01-Mar-22,1,1,1,25891602,"AM Tea 250",beverages
FMR32220602,789220,01-Mar-22,1,1,1,25891602,"AM Tea 250",beverages
FMR32703401,789703,01-Mar-22,1,1,1,25891101,"AM Curd 250",Dairy
FMR32203101,789203,01-Mar-22,0,0,0,25891101,"AM Milk 500",Dairy
FMR34122303,789122,01-Mar-22,0,0,0,25891101,"AM Ghee 100",Dairy
FMR33420101,789420,01-Mar-22,0,1,0,25891101,"AM Milk 500",Dairy
FMR34622101,789622,01-Mar-22,1,0,0,25891101,"AM Milk 500",Dairy
FMR34422101,789422,01-Mar-22,0,1,0,25891101,"AM Milk 500",Dairy
FMR34603401,789603,01-Mar-22,0,1,0,25891401,"AM Curd 250",Dairy
FMR32122401,789122,01-Mar-22,0,0,0,25891401,"AM Curd 250",Dairy
FMR33103401,789103,01-Mar-22,1,0,0,25891401,"AM Curd 250",Dairy
FMR33603603,789603,01-Mar-22,0,1,0,25891603,"AM Tea 100",beverages
FMR33420603,789420,01-Mar-22,1,1,1,25891603,"AM Tea 100",beverages
FMR32121603,789121,01-Mar-22,0,0,0,25891603,"AM Tea 100",beverages
FMR32421603,789421,01-Mar-22,0,0,0,25891603,"AM Tea 100",beverages
FMR32903603,789903,01-Mar-22,0,0,0,25891603,"AM Tea 100",beverages
FMR32303603,789303,01-Mar-22,1,1,1,25891603,"AM Tea 100",beverages
FMR32721603,789721,01-Mar-22,1,0,0,25891202,"AM Butter 250",beverages
FMR32102202,789102,01-Mar-22,0,1,0,25891202,"AM Butter 250",Dairy
FMR34902202,789902,01-Mar-22,1,1,1,25891202,"AM Butter 250",Dairy
FMR32320202,789320,01-Mar-22,0,1,0,25891202,"AM Butter 250",Dairy
FMR33320202,789320,01-Mar-22,0,0,0,25891202,"AM Butter 250",Dairy
FMR33101202,789101,01-Mar-22,0,1,0,25891202,"AM Butter 250",Dairy
FMR33601202,789601,01-Mar-22,0,0,0,25891202,"AM Butter 250",Dairy
FMR32521202,789521,01-Mar-22,0,1,0,25891202,"AM Butter 250",Dairy
FMR33521202,789521,01-Mar-22,1,1,1,25891202,"AM Butter 250",Dairy
FMR33522202,789522,01-Mar-22,1,0,0,25891202,"AM Butter 250",Dairy
FMR32522303,789522,01-Mar-22,1,0,0,25891303,"AM Ghee 100",Dairy
FMR32601303,789601,01-Mar-22,0,1,0,25891303,"AM Ghee 100",Dairy
FMR33601303,789601,01-Mar-22,1,0,0,25891303,"AM Ghee 100",Dairy
FMR33703303,789703,01-Mar-22,1,1,1,25891303,"AM Ghee 100",Dairy
FMR34720303,789720,01-Mar-22,0,1,0,25891303,"AM Ghee 100",Dairy
FMR34420303,789420,01-Mar-22,1,0,0,25891303,"AM Ghee 100",Dairy
FMR32221303,789221,01-Mar-22,1,1,1,25891303,"AM Ghee 100",Dairy
FMR34121303,789121,01-Mar-22,0,1,0,25891303,"AM Ghee 100",Dairy
FMR32402303,789402,01-Mar-22,0,0,0,25891303,"AM Ghee 100",Dairy
FMR33203403,789203,02-Mar-22,1,1,1,25891402,"AM Curd 100",Dairy
FMR34603203,789603,02-Mar-22,1,1,1,25891203,"AM Butter 500",Dairy
FMR33422203,789422,02-Mar-22,1,1,1,25891203,"AM Butter 500",Dairy
FMR35422503,789422,02-Mar-22,0,1,0,25891203,"AM Biscuits 250",Dairy
FMR34101203,789101,02-Mar-22,1,1,1,25891102,"AM Butter 500",Dairy
FMR35401203,789401,02-Mar-22,1,0,0,25891103,"AM Butter 500",Dairy
FMR34320402,789320,02-Mar-22,1,0,0,25891203,"AM Butter 500",Dairy
FMR35320402,789320,02-Mar-22,1,0,0,25891203,"AM Butter 500",Dairy
FMR34721601,789721,02-Mar-22,1,0,0,25891201,"AM Butter 100",beverages
FMR34202203,789202,02-Mar-22,1,1,1,25891203,"AM Butter 500",Dairy
FMR33503203,789503,02-Mar-22,0,1,0,25891203,"AM Butter 500",Dairy
FMR35121203,789121,02-Mar-22,1,1,1,25891203,"AM Butter 500",Dairy
FMR34221203,789221,02-Mar-22,1,1,1,25891203,"AM Butter 500",Dairy
FMR35221203,789221,02-Mar-22,1,0,0,25891203,"AM Butter 500",Dairy
FMR35321603,789321,02-Mar-22,1,0,0,25891203,"AM Butter 500",beverages
FMR33501602,789501,02-Mar-22,1,0,0,25891203,"AM Biscuits 500",beverages
FMR33601203,789601,02-Mar-22,1,0,0,25891203,"AM Butter 500",Dairy
FMR35622603,789622,02-Mar-22,1,0,0,25891203,"AM Butter 500",beverages
FMR35902601,789902,02-Mar-22,1,0,0,25891102,"AM Biscuits 750",beverages
FMR35402501,789402,02-Mar-22,1,1,1,25891203,"AM Biscuits 750",Dairy
FMR33702602,789702,02-Mar-22,1,0,0,25891101,"AM Biscuits 500",beverages
FMR33520203,789520,02-Mar-22,1,0,0,25891203,"AM Butter 500",Dairy
FMR35603302,789603,02-Mar-22,1,1,1,25891302,"AM Ghee 150",Dairy
FMR35621302,789621,02-Mar-22,1,1,1,25891201,"AM Butter 100",Dairy
FMR33321303,789321,02-Mar-22,1,0,0,25891102,"AM Ghee 100",Dairy
FMR33420302,789420,02-Mar-22,0,0,0,25891201,"AM Butter 100",Dairy
FMR34420302,789420,02-Mar-22,0,1,0,25891302,"AM Ghee 150",Dairy
FMR34220501,789220,02-Mar-22,1,0,0,25891302,"AM Biscuits 750",Dairy
FMR34122403,789122,02-Mar-22,0,0,0,25891302,"AM Curd 50",Dairy
FMR35122302,789122,02-Mar-22,0,1,0,25891302,"AM Ghee 150",Dairy
FMR35303601,789303,02-Mar-22,1,0,0,25891302,"AM Biscuits 500",beverages
FMR33720403,789720,02-Mar-22,1,1,1,25891302,"AM Curd 250",Dairy
FMR35720302,789720,02-Mar-22,1,0,0,25891202,"AM Butter 250",Dairy
FMR34703601,789703,02-Mar-22,1,1,1,25891302,"AM Ghee 150",beverages
FMR34101302,789101,02-Mar-22,0,0,0,25891302,"AM Ghee 150",Dairy
FMR34522401,789522,02-Mar-22,0,1,0,25891302,"AM Curd 250",Dairy
FMR34121401,789121,02-Mar-22,0,1,0,25891302,"AM Curd 250",Dairy
FMR34903403,789903,02-Mar-22,1,0,0,25891302,"AM Curd 50",Dairy
FMR35903601,789903,02-Mar-22,1,0,0,25891302,"AM Ghee 150",beverages
FMR34402603,789402,02-Mar-22,1,1,1,25891101,"AM Butter 100",beverages
FMR33422302,789422,02-Mar-22,0,1,0,25891202,"AM Butter 250",Dairy
FMR34721301,789721,02-Mar-22,1,1,1,25891301,"AM Ghee 250",Dairy
FMR35703502,789703,02-Mar-22,1,1,1,25891301,"AM Biscuits 500",Dairy
FMR35102301,789102,02-Mar-22,0,1,0,25891301,"AM Ghee 250",Dairy
FMR33103301,789103,02-Mar-22,1,0,0,25891301,"AM Ghee 250",Dairy
FMR35321301,789321,02-Mar-22,0,1,0,25891301,"AM Ghee 250",Dairy
FMR34503301,789503,02-Mar-22,0,0,0,25891201,"AM Butter 100",Dairy
FMR34521301,789521,02-Mar-22,0,0,0,25891301,"AM Ghee 250",Dairy
FMR34702601,789702,02-Mar-22,1,0,0,25891301,"AM Ghee 250",beverages
FMR33401301,789401,02-Mar-22,1,0,0,25891301,"AM Ghee 250",Dairy
FMR33721102,789721,02-Mar-22,1,0,0,25891102,"AM Milk 250",Dairy
FMR34601501,789601,02-Mar-22,1,0,0,25891102,"AM Biscuits 750",Dairy
FMR33221401,789221,02-Mar-22,1,1,1,25891102,"AM Curd 250",Dairy
FMR33622402,789622,02-Mar-22,1,1,1,25891102,"AM Curd 100",Dairy
FMR33503603,789503,02-Mar-22,1,0,0,25891102,"AM Milk 250",beverages
FMR35420102,789420,02-Mar-22,0,0,0,25891102,"AM Milk 250",Dairy
FMR35220102,789220,02-Mar-22,1,1,1,25891102,"AM Milk 250",Dairy
FMR33101501,789101,02-Mar-22,1,0,0,25891102,"AM Biscuits 750",Dairy
FMR33102403,789102,02-Mar-22,1,0,0,25891102,"AM Curd 50",Dairy
FMR34621102,789621,02-Mar-22,0,1,0,25891102,"AM Milk 250",Dairy
FMR35122502,789122,02-Mar-22,0,0,0,25891101,"AM Biscuits 500",Dairy
FMR33320502,789320,02-Mar-22,1,1,1,25891502,"AM Biscuits 500",Food
FMR34201502,789201,02-Mar-22,1,1,1,25891502,"AM Biscuits 500",Food
FMR33301502,789301,02-Mar-22,1,0,0,25891403,"AM Biscuits 500",Dairy
FMR33203502,789203,02-Mar-22,0,0,0,25891303,"AM Biscuits 500",Dairy
FMR34203602,789203,02-Mar-22,1,1,1,25891502,"AM Biscuits 500",beverages
FMR34202502,789202,02-Mar-22,1,0,0,25891402,"AM Biscuits 500",Dairy
FMR34121502,789121,02-Mar-22,1,1,1,25891502,"AM Biscuits 500",Food
FMR35520502,789520,02-Mar-22,1,0,0,25891502,"AM Biscuits 500",Food
FMR33103603,789103,02-Mar-22,1,1,1,25891502,"AM Biscuits 500",beverages
FMR33603502,789603,02-Mar-22,1,1,1,25891202,"AM Biscuits 500",Dairy
FMR35503502,789503,02-Mar-22,1,0,0,25891101,"AM Biscuits 500",Dairy
FMR35101502,789101,02-Mar-22,1,1,1,25891501,"AM Biscuits 500",Food
FMR35702603,789702,02-Mar-22,1,1,1,25891401,"AM Biscuits 500",beverages
FMR34321502,789321,02-Mar-22,1,1,1,25891303,"AM Biscuits 500",Dairy
FMR35203601,789203,02-Mar-22,1,1,1,25891101,"AM Curd 50",beverages
FMR33903503,789903,02-Mar-22,1,0,0,25891201,"AM Biscuits 250",Dairy
FMR34501403,789501,02-Mar-22,1,0,0,25891303,"AM Curd 50",Dairy
FMR34420403,789420,02-Mar-22,0,1,0,25891403,"AM Curd 50",Dairy
FMR33201403,789201,02-Mar-22,1,1,1,25891202,"AM Butter 250",Dairy
FMR34503602,789503,02-Mar-22,1,0,0,25891303,"AM Curd 50",beverages
FMR33122503,789122,02-Mar-22,1,0,0,25891403,"AM Biscuits 250",Dairy
FMR34102403,789102,02-Mar-22,1,0,0,25891103,"AM Curd 100",Dairy
FMR33202403,789202,02-Mar-22,1,0,0,25891303,"AM Curd 50",Dairy
FMR33303403,789303,02-Mar-22,1,0,0,25891403,"AM Curd 50",Dairy
FMR34521403,789521,02-Mar-22,1,1,1,25891403,"AM Curd 50",Dairy
FMR33121403,789121,02-Mar-22,0,1,0,25891403,"AM Curd 50",Dairy
FMR34702403,789702,02-Mar-22,0,0,0,25891403,"AM Curd 50",Dairy
FMR35301503,789301,02-Mar-22,0,1,0,25891403,"AM Biscuits 250",Dairy
FMR33403601,789403,02-Mar-22,1,1,1,25891503,"AM Biscuits 250",beverages
FMR33321503,789321,02-Mar-22,1,1,1,25891503,"AM Biscuits 250",Food
FMR33902503,789902,02-Mar-22,1,0,0,25891201,"AM Biscuits 250",Dairy
FMR34603601,789603,02-Mar-22,1,1,1,25891101,"AM Biscuits 250",beverages
FMR35603601,789603,02-Mar-22,1,1,1,25891401,"AM Biscuits 250",beverages
FMR34402503,789402,02-Mar-22,1,1,1,25891503,"AM Biscuits 250",Food
FMR35303503,789303,02-Mar-22,0,1,0,25891503,"AM Biscuits 250",Food
FMR34422503,789422,02-Mar-22,0,1,0,25891503,"AM Biscuits 250",Food
FMR33403103,789403,02-Mar-22,1,0,0,25891103,"AM Milk 100",Dairy
FMR34521103,789521,02-Mar-22,0,1,0,25891103,"AM Milk 100",Dairy
FMR35521303,789521,02-Mar-22,0,1,0,25891103,"AM Ghee 100",Dairy
FMR35522103,789522,02-Mar-22,1,1,1,25891103,"AM Milk 100",Dairy
FMR35122602,789122,02-Mar-22,1,0,0,25891103,"AM Milk 100",beverages
FMR35721103,789721,02-Mar-22,1,1,1,25891101,"AM Milk 100",Dairy
FMR35321303,789321,02-Mar-22,0,1,0,25891103,"AM Ghee 100",Dairy
FMR33422103,789422,02-Mar-22,0,0,0,25891103,"AM Milk 100",Dairy
FMR35422501,789422,02-Mar-22,1,0,0,25891103,"AM Biscuits 750",Dairy
FMR34221601,789221,02-Mar-22,1,1,1,25891202,"AM Biscuits 750",beverages
FMR33703601,789703,02-Mar-22,1,0,0,25891201,"AM Butter 100",beverages
FMR33601601,789601,02-Mar-22,1,0,0,25891601,"AM Tea 500",beverages
FMR35601601,789601,02-Mar-22,1,0,0,25891401,"AM Curd 100",beverages
FMR33521601,789521,02-Mar-22,1,1,1,25891601,"AM Tea 500",beverages
FMR35103601,789103,02-Mar-22,1,0,0,25891201,"AM Butter 100",beverages
FMR34201601,789201,02-Mar-22,0,1,0,25891601,"AM Tea 500",beverages
FMR35320601,789320,02-Mar-22,1,0,0,25891601,"AM Tea 500",beverages
FMR34720601,789720,02-Mar-22,1,0,0,25891401,"AM Curd 250",beverages
FMR34102601,789102,02-Mar-22,0,1,0,25891601,"AM Tea 500",beverages
FMR33420602,789420,02-Mar-22,0,0,0,25891601,"AM Tea 250",beverages
FMR35501601,789501,02-Mar-22,1,0,0,25891303,"AM Biscuits 750",beverages
FMR33220402,789220,02-Mar-22,1,0,0,25891202,"AM Butter 250",Dairy
FMR35420402,789420,02-Mar-22,1,1,1,25891402,"AM Curd 100",Dairy
FMR35603402,789603,02-Mar-22,0,0,0,25891402,"AM Curd 100",Dairy
FMR33520402,789520,02-Mar-22,0,0,0,25891402,"AM Curd 100",Dairy
FMR34403602,789403,02-Mar-22,1,1,1,25891402,"AM Curd 100",beverages
FMR33621402,789621,02-Mar-22,0,1,0,25891402,"AM Curd 100",Dairy
FMR34421402,789421,02-Mar-22,0,0,0,25891101,"AM Curd 100",Dairy
FMR33102402,789102,02-Mar-22,0,1,0,25891402,"AM Curd 100",Dairy
FMR34122202,789122,02-Mar-22,0,0,0,25891201,"AM Butter 100",Dairy
FMR35401201,789401,02-Mar-22,0,1,0,25891201,"AM Butter 100",Dairy
FMR35220201,789220,02-Mar-22,1,0,0,25891201,"AM Butter 100",Dairy
FMR35903201,789903,02-Mar-22,0,0,0,25891201,"AM Butter 100",Dairy
FMR33520201,789520,02-Mar-22,0,1,0,25891201,"AM Butter 100",Dairy
FMR34520201,789520,02-Mar-22,0,1,0,25891201,"AM Butter 100",Dairy
FMR34522603,789522,02-Mar-22,0,1,0,25891501,"AM Biscuits 750",beverages
FMR33521501,789521,02-Mar-22,0,1,0,25891501,"AM Biscuits 750",Food
FMR34421603,789421,02-Mar-22,0,0,0,25891501,"AM Biscuits 750",beverages
FMR34301501,789301,02-Mar-22,0,1,0,25891202,"AM Biscuits 750",Dairy
FMR33301602,789301,02-Mar-22,0,1,0,25891602,"AM Tea 250",beverages
FMR33402602,789402,02-Mar-22,1,0,0,25891101,"AM Curd 250",beverages
FMR35121602,789121,02-Mar-22,1,0,0,25891602,"AM Tea 250",beverages
FMR35522602,789522,02-Mar-22,0,0,0,25891602,"AM Tea 250",beverages
FMR34902602,789902,02-Mar-22,1,0,0,25891602,"AM Tea 250",beverages
FMR35421602,789421,02-Mar-22,0,0,0,25891303,"AM Ghee 100",beverages
FMR33220101,789220,02-Mar-22,1,0,0,25891101,"AM Milk 500",Dairy
